"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"32",2013,1,3,NA,1030,NA,NA,1210,NA,"AA",321,"N487AA","LGA","ORD",NA,733,10,30,2013-01-03 10:00:00
"33",2013,1,3,NA,1125,NA,NA,1305,NA,"AA",327,"N3AMAA","LGA","ORD",NA,733,11,25,2013-01-03 11:00:00
"34",2013,1,3,NA,835,NA,NA,1150,NA,"AA",717,"N3GXAA","LGA","DFW",NA,1389,8,35,2013-01-03 08:00:00
"35",2013,1,3,NA,920,NA,NA,1245,NA,"AA",721,"N201AA","LGA","DFW",NA,1389,9,20,2013-01-03 09:00:00
"36",2013,1,3,NA,1020,NA,NA,1330,NA,"AA",731,"N3FVAA","LGA","DFW",NA,1389,10,20,2013-01-03 10:00:00
"37",2013,1,3,NA,1220,NA,NA,1415,NA,"AA",1757,"N573AA","LGA","STL",NA,888,12,20,2013-01-03 12:00:00
"38",2013,1,3,NA,630,NA,NA,830,NA,"MQ",4599,"N500MQ","LGA","MSP",NA,1020,6,30,2013-01-03 06:00:00
"39",2013,1,3,NA,857,NA,NA,1209,NA,"UA",714,NA,"EWR","MIA",NA,1085,8,57,2013-01-03 08:00:00
"40",2013,1,3,NA,645,NA,NA,952,NA,"UA",719,NA,"EWR","DFW",NA,1372,6,45,2013-01-03 06:00:00
"41",2013,1,4,1655,1659,-4,2111,2046,NA,"9E",3375,"N915XJ","JFK","SAT",NA,1587,16,59,2013-01-04 16:00:00
"42",2013,1,4,NA,845,NA,NA,1015,NA,"9E",3405,NA,"JFK","DCA",NA,213,8,45,2013-01-04 08:00:00
"43",2013,1,4,NA,1830,NA,NA,2044,NA,"9E",3716,NA,"EWR","DTW",NA,488,18,30,2013-01-04 18:00:00
"44",2013,1,4,NA,920,NA,NA,1245,NA,"AA",721,"N541AA","LGA","DFW",NA,1389,9,20,2013-01-04 09:00:00
"45",2013,1,4,NA,1245,NA,NA,1550,NA,"AA",745,"N3BGAA","LGA","DFW",NA,1389,12,45,2013-01-04 12:00:00
"46",2013,1,4,NA,1430,NA,NA,1735,NA,"AA",883,"N200AA","EWR","DFW",NA,1372,14,30,2013-01-04 14:00:00
"47",2013,1,4,NA,1530,NA,NA,1725,NA,"AA",2223,"N569AA","LGA","STL",NA,888,15,30,2013-01-04 15:00:00
"48",2013,1,5,NA,1400,NA,NA,1518,NA,"EV",5712,"N827AS","JFK","IAD",NA,228,14,0,2013-01-05 14:00:00
"49",2013,1,5,NA,840,NA,NA,1001,NA,"9E",3422,NA,"JFK","BOS",NA,187,8,40,2013-01-05 08:00:00
"50",2013,1,5,NA,1430,NA,NA,1735,NA,"AA",883,"N544AA","EWR","DFW",NA,1372,14,30,2013-01-05 14:00:00
"51",2013,1,6,1855,1845,10,2223,2137,NA,"9E",3369,"N933XJ","JFK","MSY",NA,1182,18,45,2013-01-06 18:00:00
"52",2013,1,6,2205,2159,6,114,2315,NA,"EV",4257,"N14991","EWR","BTV",NA,266,21,59,2013-01-06 21:00:00
"53",2013,1,6,NA,845,NA,NA,1105,NA,"EV",4364,"N33182","EWR","MCI",NA,1092,8,45,2013-01-06 08:00:00
"54",2013,1,7,NA,600,NA,NA,745,NA,"AA",301,"N3CYAA","LGA","ORD",NA,733,6,0,2013-01-07 06:00:00
"55",2013,1,7,NA,1220,NA,NA,1415,NA,"AA",1757,"N474AA","LGA","STL",NA,888,12,20,2013-01-07 12:00:00
"56",2013,1,7,NA,820,NA,NA,958,NA,"9E",3317,NA,"JFK","BUF",NA,301,8,20,2013-01-07 08:00:00
"57",2013,1,8,906,908,-2,1315,1120,NA,"EV",4638,"N16919","EWR","CVG",NA,569,9,8,2013-01-08 09:00:00
"58",2013,1,8,1119,1121,-2,1521,1347,NA,"UA",1493,"N26208","EWR","DEN",NA,1605,11,21,2013-01-08 11:00:00
"59",2013,1,8,1612,1605,7,2025,1925,NA,"9E",3325,"N907XJ","JFK","DFW",NA,1391,16,5,2013-01-08 16:00:00
"60",2013,1,8,NA,600,NA,NA,724,NA,"EV",6055,"N13914","LGA","IAD",NA,229,6,0,2013-01-08 06:00:00
"61",2013,1,8,NA,830,NA,NA,1025,NA,"AA",1855,"N484AA","LGA","STL",NA,888,8,30,2013-01-08 08:00:00
"62",2013,1,8,NA,1300,NA,NA,1610,NA,"WN",2239,"N247WN","EWR","HOU",NA,1411,13,0,2013-01-08 13:00:00
"63",2013,1,8,NA,1645,NA,NA,1838,NA,"US",123,NA,"EWR","CLT",NA,529,16,45,2013-01-08 16:00:00
"64",2013,1,9,615,615,0,NA,855,NA,"9E",3856,"N161PQ","JFK","ATL",NA,760,6,15,2013-01-09 06:00:00
"65",2013,1,9,1658,1659,-1,2105,2046,NA,"9E",3375,"N917XJ","JFK","SAT",NA,1587,16,59,2013-01-09 16:00:00
"66",2013,1,9,1841,1855,-14,24,2245,NA,"VX",29,"N624VA","JFK","SFO",NA,2586,18,55,2013-01-09 18:00:00
"67",2013,1,9,2042,2040,2,NA,2357,NA,"B6",677,"N807JB","JFK","LAX",NA,2475,20,40,2013-01-09 20:00:00
"68",2013,1,9,NA,755,NA,NA,1012,NA,"9E",4023,NA,"EWR","CVG",NA,569,7,55,2013-01-09 07:00:00
"69",2013,1,9,NA,1055,NA,NA,1405,NA,"AA",739,"N3BVAA","LGA","DFW",NA,1389,10,55,2013-01-09 10:00:00
"70",2013,1,9,NA,1505,NA,NA,1820,NA,"AA",759,"N3BWAA","LGA","DFW",NA,1389,15,5,2013-01-09 15:00:00
"71",2013,1,9,NA,830,NA,NA,1025,NA,"AA",1855,"N466AA","LGA","STL",NA,888,8,30,2013-01-09 08:00:00
"72",2013,1,9,NA,1251,NA,NA,1602,NA,"UA",421,NA,"LGA","IAH",NA,1416,12,51,2013-01-09 12:00:00
"73",2013,1,10,NA,635,NA,NA,940,NA,"AA",711,"N3CDAA","LGA","DFW",NA,1389,6,35,2013-01-10 06:00:00
"74",2013,1,10,NA,1500,NA,NA,1639,NA,"UA",685,NA,"LGA","ORD",NA,733,15,0,2013-01-10 15:00:00
"75",2013,1,10,NA,700,NA,NA,1007,NA,"UA",719,NA,"EWR","DFW",NA,1372,7,0,2013-01-10 07:00:00
"76",2013,1,11,1344,1350,-6,NA,1518,NA,"EV",4171,"N15985","EWR","MSN",NA,799,13,50,2013-01-11 13:00:00
"77",2013,1,11,1433,1436,-3,1844,1543,NA,"EV",4372,"N13124","EWR","DCA",NA,199,14,36,2013-01-11 14:00:00
"78",2013,1,11,NA,1930,NA,NA,2115,NA,"EV",3274,"N14573","LGA","CLE",NA,419,19,30,2013-01-11 19:00:00
"79",2013,1,11,NA,1820,NA,NA,2150,NA,"AA",119,"N3EAAA","EWR","LAX",NA,2454,18,20,2013-01-11 18:00:00
"80",2013,1,11,NA,1850,NA,NA,2050,NA,"AA",2019,"N474AA","LGA","STL",NA,888,18,50,2013-01-11 18:00:00
"81",2013,1,11,NA,1705,NA,NA,2010,NA,"AA",1905,"N4YMAA","EWR","DFW",NA,1372,17,5,2013-01-11 17:00:00
"82",2013,1,11,NA,1700,NA,NA,1813,NA,"US",2136,NA,"LGA","BOS",NA,184,17,0,2013-01-11 17:00:00
"83",2013,1,11,NA,1435,NA,NA,1559,NA,"YV",3750,"N518LR","LGA","IAD",NA,229,14,35,2013-01-11 14:00:00
"84",2013,1,11,NA,1959,NA,NA,2144,NA,"MQ",4423,"N818MQ","JFK","RDU",NA,427,19,59,2013-01-11 19:00:00
"85",2013,1,11,NA,1910,NA,NA,2055,NA,"MQ",4569,"N846MQ","LGA","RDU",NA,431,19,10,2013-01-11 19:00:00
"86",2013,1,11,NA,1720,NA,NA,1905,NA,"MQ",4479,"N711MQ","LGA","RDU",NA,431,17,20,2013-01-11 17:00:00
"87",2013,1,11,NA,2100,NA,NA,2235,NA,"MQ",4507,"N737MQ","LGA","RDU",NA,431,21,0,2013-01-11 21:00:00
"88",2013,1,11,NA,1605,NA,NA,1750,NA,"MQ",4415,"N719MQ","LGA","RDU",NA,431,16,5,2013-01-11 16:00:00
"89",2013,1,12,917,920,-3,1357,1245,NA,"AA",721,"N525AA","LGA","DFW",NA,1389,9,20,2013-01-12 09:00:00
"90",2013,1,12,1201,1205,-4,1606,1520,NA,"AA",743,"N4XPAA","LGA","DFW",NA,1389,12,5,2013-01-12 12:00:00
"91",2013,1,12,1513,1459,14,2010,1812,NA,"UA",1600,"N34131","EWR","LAX",NA,2454,14,59,2013-01-12 14:00:00
"92",2013,1,12,NA,900,NA,NA,1020,NA,"US",2120,NA,"LGA","BOS",NA,184,9,0,2013-01-12 09:00:00
"93",2013,1,12,NA,1225,NA,NA,1355,NA,"WN",640,"N353SW","EWR","MDW",NA,711,12,25,2013-01-12 12:00:00
"94",2013,1,12,NA,1600,NA,NA,1820,NA,"MQ",3985,"N633MQ","JFK","CVG",NA,589,16,0,2013-01-12 16:00:00
"95",2013,1,12,NA,840,NA,NA,1030,NA,"MQ",4521,"N711MQ","LGA","RDU",NA,431,8,40,2013-01-12 08:00:00
"96",2013,1,12,NA,810,NA,NA,955,NA,"MQ",4406,"N835MQ","JFK","RDU",NA,427,8,10,2013-01-12 08:00:00
"97",2013,1,12,NA,629,NA,NA,805,NA,"UA",297,NA,"EWR","ORD",NA,719,6,29,2013-01-12 06:00:00
"98",2013,1,13,1322,1305,17,1912,1405,NA,"EV",4129,"N29917","EWR","DCA",NA,199,13,5,2013-01-13 13:00:00
"99",2013,1,13,1907,1634,153,NA,1837,NA,"EV",4411,"N11535","EWR","MEM",NA,946,16,34,2013-01-13 16:00:00
"100",2013,1,13,2042,1934,68,58,2219,NA,"EV",4204,"N11191","EWR","OKC",NA,1325,19,34,2013-01-13 19:00:00
"101",2013,1,13,2155,2129,26,218,2234,NA,"EV",4698,"N14902","EWR","DCA",NA,199,21,29,2013-01-13 21:00:00
"102",2013,1,13,2239,2159,40,NA,30,NA,"EV",4519,"N17196","EWR","BWI",NA,169,21,59,2013-01-13 21:00:00
"103",2013,1,13,NA,2000,NA,NA,2137,NA,"EV",4106,"N12564","EWR","GSO",NA,445,20,0,2013-01-13 20:00:00
"104",2013,1,13,NA,600,NA,NA,716,NA,"EV",4201,"N16151","EWR","IAD",NA,212,6,0,2013-01-13 06:00:00
"105",2013,1,13,NA,2045,NA,NA,2216,NA,"9E",3395,NA,"JFK","DCA",NA,213,20,45,2013-01-13 20:00:00
"106",2013,1,13,NA,2029,NA,NA,2140,NA,"9E",3609,NA,"JFK","PHL",NA,94,20,29,2013-01-13 20:00:00
"107",2013,1,13,NA,1610,NA,NA,1732,NA,"9E",3689,NA,"JFK","PHL",NA,94,16,10,2013-01-13 16:00:00
"108",2013,1,13,NA,955,NA,NA,1100,NA,"9E",3667,NA,"JFK","PHL",NA,94,9,55,2013-01-13 09:00:00
"109",2013,1,13,NA,1935,NA,NA,2145,NA,"9E",3899,NA,"JFK","CLE",NA,425,19,35,2013-01-13 19:00:00
"110",2013,1,13,NA,1940,NA,NA,2106,NA,"9E",4091,NA,"JFK","BWI",NA,184,19,40,2013-01-13 19:00:00
"111",2013,1,13,NA,810,NA,NA,1315,NA,"AA",655,"N5FKAA","JFK","STT",NA,1623,8,10,2013-01-13 08:00:00
"112",2013,1,13,NA,2015,NA,NA,2130,NA,"AA",1762,"N3FEAA","JFK","BOS",NA,187,20,15,2013-01-13 20:00:00
"113",2013,1,13,NA,1605,NA,NA,1729,NA,"YV",3771,"N502MJ","LGA","IAD",NA,229,16,5,2013-01-13 16:00:00
"114",2013,1,13,NA,1835,NA,NA,1950,NA,"MQ",3944,"N655MQ","JFK","BWI",NA,184,18,35,2013-01-13 18:00:00
"115",2013,1,13,NA,1959,NA,NA,2144,NA,"MQ",4423,"N854MQ","JFK","RDU",NA,427,19,59,2013-01-13 19:00:00
"116",2013,1,13,NA,2125,NA,NA,2240,NA,"MQ",4449,"N840MQ","JFK","DCA",NA,213,21,25,2013-01-13 21:00:00
"117",2013,1,13,NA,1940,NA,NA,2125,NA,"MQ",3783,"N524MQ","JFK","CMH",NA,483,19,40,2013-01-13 19:00:00
"118",2013,1,13,NA,1700,NA,NA,1839,NA,"UA",791,NA,"LGA","ORD",NA,733,17,0,2013-01-13 17:00:00
"119",2013,1,14,1129,1120,9,1620,1336,NA,"EV",4298,"N14179","EWR","MCI",NA,1092,11,20,2013-01-14 11:00:00
"120",2013,1,14,1658,1659,-1,2150,2046,NA,"9E",3375,"N602LR","JFK","SAT",NA,1587,16,59,2013-01-14 16:00:00
"121",2013,1,14,1930,1935,-5,2330,2220,NA,"EV",4204,"N12195","EWR","OKC",NA,1325,19,35,2013-01-14 19:00:00
"122",2013,1,14,NA,920,NA,NA,1245,NA,"AA",721,"N529AA","LGA","DFW",NA,1389,9,20,2013-01-14 09:00:00
"123",2013,1,14,NA,615,NA,NA,820,NA,"US",1791,NA,"JFK","CLT",NA,541,6,15,2013-01-14 06:00:00
"124",2013,1,15,NA,1329,NA,NA,1526,NA,"EV",3840,"N14977","EWR","MEM",NA,946,13,29,2013-01-15 13:00:00
"125",2013,1,15,NA,2000,NA,NA,2125,NA,"EV",4412,"N16151","EWR","BUF",NA,282,20,0,2013-01-15 20:00:00
"126",2013,1,15,NA,1629,NA,NA,1832,NA,"EV",4411,"N14916","EWR","MEM",NA,946,16,29,2013-01-15 16:00:00
"127",2013,1,15,NA,730,NA,NA,1040,NA,"AA",715,"N556AA","LGA","DFW",NA,1389,7,30,2013-01-15 07:00:00
"128",2013,1,15,NA,835,NA,NA,1150,NA,"AA",717,"N3ANAA","LGA","DFW",NA,1389,8,35,2013-01-15 08:00:00
"129",2013,1,15,NA,920,NA,NA,1245,NA,"AA",721,"N553AA","LGA","DFW",NA,1389,9,20,2013-01-15 09:00:00
"130",2013,1,15,NA,1330,NA,NA,1640,NA,"AA",753,"N3BWAA","LGA","DFW",NA,1389,13,30,2013-01-15 13:00:00
"131",2013,1,15,NA,1535,NA,NA,1850,NA,"AA",763,"N3JEAA","LGA","DFW",NA,1389,15,35,2013-01-15 15:00:00
"132",2013,1,15,NA,920,NA,NA,1240,NA,"AA",1589,"N477AA","EWR","DFW",NA,1372,9,20,2013-01-15 09:00:00
"133",2013,1,15,NA,730,NA,NA,1040,NA,"AA",2083,"N4YRAA","EWR","DFW",NA,1372,7,30,2013-01-15 07:00:00
"134",2013,1,15,NA,1359,NA,NA,1656,NA,"UA",424,NA,"EWR","PBI",NA,1023,13,59,2013-01-15 13:00:00
"135",2013,1,15,NA,645,NA,NA,952,NA,"UA",719,NA,"EWR","DFW",NA,1372,6,45,2013-01-15 06:00:00
"136",2013,1,15,NA,705,NA,NA,1035,NA,"VX",399,"N626VA","JFK","LAX",NA,2475,7,5,2013-01-15 07:00:00
"137",2013,1,16,837,840,-3,NA,1030,NA,"MQ",4521,"N722MQ","LGA","RDU",NA,431,8,40,2013-01-16 08:00:00
"138",2013,1,16,2006,1659,187,54,2046,NA,"9E",3375,"N932XJ","JFK","SAT",NA,1587,16,59,2013-01-16 16:00:00
"139",2013,1,16,NA,700,NA,NA,832,NA,"EV",3839,"N15910","EWR","BNA",NA,748,7,0,2013-01-16 07:00:00
"140",2013,1,16,NA,645,NA,NA,757,NA,"EV",4241,"N11565","EWR","DCA",NA,199,6,45,2013-01-16 06:00:00
"141",2013,1,16,NA,720,NA,NA,920,NA,"EV",4246,"N16918","EWR","DTW",NA,488,7,20,2013-01-16 07:00:00
"142",2013,1,16,NA,634,NA,NA,822,NA,"EV",4334,"N14177","EWR","CMH",NA,463,6,34,2013-01-16 06:00:00
"143",2013,1,16,NA,1535,NA,NA,1743,NA,"EV",4352,"N14959","EWR","CVG",NA,569,15,35,2013-01-16 15:00:00
"144",2013,1,16,NA,1943,NA,NA,2053,NA,"EV",4312,"N13956","EWR","DCA",NA,199,19,43,2013-01-16 19:00:00
"145",2013,1,16,NA,630,NA,NA,847,NA,"EV",4393,"N15572","EWR","IND",NA,645,6,30,2013-01-16 06:00:00
"146",2013,1,16,NA,1628,NA,NA,1735,NA,"EV",4588,"N17159","EWR","MHT",NA,209,16,28,2013-01-16 16:00:00
"147",2013,1,16,NA,1905,NA,NA,2113,NA,"EV",4543,"N12195","EWR","DSM",NA,1017,19,5,2013-01-16 19:00:00
"148",2013,1,16,NA,1729,NA,NA,1902,NA,"EV",4480,"N12564","EWR","PIT",NA,319,17,29,2013-01-16 17:00:00
"149",2013,1,16,NA,1640,NA,NA,1816,NA,"EV",4485,"N14974","EWR","RDU",NA,416,16,40,2013-01-16 16:00:00
"150",2013,1,16,NA,1635,NA,NA,1907,NA,"EV",4705,"N16911","EWR","ATL",NA,746,16,35,2013-01-16 16:00:00
"151",2013,1,16,NA,1858,NA,NA,2055,NA,"EV",5038,"N709EV","LGA","BHM",NA,866,18,58,2013-01-16 18:00:00
"152",2013,1,16,NA,610,NA,NA,817,NA,"DL",1919,"N373NW","LGA","MSP",NA,1020,6,10,2013-01-16 06:00:00
"153",2013,1,16,NA,630,NA,NA,859,NA,"DL",2006,"N338NW","LGA","MSY",NA,1183,6,30,2013-01-16 06:00:00
"154",2013,1,16,NA,759,NA,NA,1039,NA,"DL",2047,"N678DL","LGA","ATL",NA,762,7,59,2013-01-16 07:00:00
"155",2013,1,16,NA,630,NA,NA,800,NA,"EV",4560,"N12195","EWR","PIT",NA,319,6,30,2013-01-16 06:00:00
"156",2013,1,16,NA,1416,NA,NA,1650,NA,"FL",349,"N717JL","LGA","ATL",NA,762,14,16,2013-01-16 14:00:00
"157",2013,1,16,NA,1605,NA,NA,1925,NA,"9E",3325,NA,"JFK","DFW",NA,1391,16,5,2013-01-16 16:00:00
"158",2013,1,16,NA,815,NA,NA,958,NA,"9E",3521,NA,"JFK","ORD",NA,740,8,15,2013-01-16 08:00:00
"159",2013,1,16,NA,1540,NA,NA,1743,NA,"9E",3523,NA,"JFK","ORD",NA,740,15,40,2013-01-16 15:00:00
"160",2013,1,16,NA,1615,NA,NA,1815,NA,"9E",3387,NA,"JFK","RDU",NA,427,16,15,2013-01-16 16:00:00
"161",2013,1,16,NA,840,NA,NA,1003,NA,"9E",3422,NA,"JFK","BOS",NA,187,8,40,2013-01-16 08:00:00
"162",2013,1,16,NA,1815,NA,NA,2037,NA,"9E",3424,NA,"JFK","DTW",NA,509,18,15,2013-01-16 18:00:00
"163",2013,1,16,NA,2000,NA,NA,2224,NA,"9E",3439,NA,"JFK","CVG",NA,589,20,0,2013-01-16 20:00:00
"164",2013,1,16,NA,1445,NA,NA,1606,NA,"9E",3452,NA,"JFK","BOS",NA,187,14,45,2013-01-16 14:00:00
"165",2013,1,16,NA,1600,NA,NA,1732,NA,"9E",3453,NA,"JFK","BOS",NA,187,16,0,2013-01-16 16:00:00
"166",2013,1,16,NA,1610,NA,NA,1732,NA,"9E",3689,NA,"JFK","PHL",NA,94,16,10,2013-01-16 16:00:00
"167",2013,1,16,NA,1545,NA,NA,1703,NA,"9E",3635,NA,"JFK","BWI",NA,184,15,45,2013-01-16 15:00:00
"168",2013,1,16,NA,950,NA,NA,1210,NA,"9E",3961,NA,"LGA","GRR",NA,618,9,50,2013-01-16 09:00:00
"169",2013,1,16,NA,1815,NA,NA,1958,NA,"9E",4019,NA,"JFK","RIC",NA,288,18,15,2013-01-16 18:00:00
"170",2013,1,16,NA,1645,NA,NA,1906,NA,"9E",4027,NA,"EWR","CVG",NA,569,16,45,2013-01-16 16:00:00
"171",2013,1,16,NA,1520,NA,NA,1654,NA,"9E",4105,NA,"JFK","IAD",NA,228,15,20,2013-01-16 15:00:00
"172",2013,1,16,NA,1925,NA,NA,2045,NA,"9E",4127,NA,"JFK","IAD",NA,228,19,25,2013-01-16 19:00:00
"173",2013,1,16,NA,1815,NA,NA,1952,NA,"9E",4277,NA,"JFK","ORF",NA,290,18,15,2013-01-16 18:00:00
"174",2013,1,16,NA,830,NA,NA,1023,NA,"9E",4220,NA,"JFK","RDU",NA,427,8,30,2013-01-16 08:00:00
"175",2013,1,16,NA,1505,NA,NA,1820,NA,"AA",759,"N3HJAA","LGA","DFW",NA,1389,15,5,2013-01-16 15:00:00
"176",2013,1,16,NA,1945,NA,NA,2241,NA,"9E",3314,NA,"JFK","JAX",NA,828,19,45,2013-01-16 19:00:00
"177",2013,1,16,NA,1455,NA,NA,1637,NA,"9E",3318,NA,"JFK","BUF",NA,301,14,55,2013-01-16 14:00:00
"178",2013,1,16,NA,900,NA,NA,1116,NA,"DL",181,"N865DA","LGA","DTW",NA,502,9,0,2013-01-16 09:00:00
"179",2013,1,16,NA,600,NA,NA,837,NA,"DL",461,"N674DL","LGA","ATL",NA,762,6,0,2013-01-16 06:00:00
"180",2013,1,16,NA,1100,NA,NA,1209,NA,"US",2124,NA,"LGA","BOS",NA,184,11,0,2013-01-16 11:00:00
"181",2013,1,16,NA,1200,NA,NA,1305,NA,"US",2126,NA,"LGA","BOS",NA,184,12,0,2013-01-16 12:00:00
"182",2013,1,16,NA,645,NA,NA,846,NA,"US",926,NA,"EWR","CLT",NA,529,6,45,2013-01-16 06:00:00
"183",2013,1,16,NA,1205,NA,NA,1345,NA,"MQ",4431,"N723MQ","LGA","RDU",NA,431,12,5,2013-01-16 12:00:00
"184",2013,1,16,NA,1506,NA,NA,1640,NA,"UA",708,NA,"EWR","ORD",NA,719,15,6,2013-01-16 15:00:00
"185",2013,1,17,1718,1725,-7,2339,2050,NA,"UA",512,"N560UA","JFK","SFO",NA,2586,17,25,2013-01-17 17:00:00
"186",2013,1,17,1732,1727,5,2206,2038,NA,"UA",738,"N462UA","EWR","SEA",NA,2402,17,27,2013-01-17 17:00:00
"187",2013,1,17,2033,2042,-9,2333,2231,NA,"EV",3833,"N13550","EWR","STL",NA,872,20,42,2013-01-17 20:00:00
"188",2013,1,17,NA,1545,NA,NA,1815,NA,"DL",1942,"N322NB","EWR","ATL",NA,746,15,45,2013-01-17 15:00:00
"189",2013,1,17,NA,1700,NA,NA,1935,NA,"DL",2042,"N308DE","EWR","ATL",NA,746,17,0,2013-01-17 17:00:00
"190",2013,1,17,NA,1722,NA,NA,1844,NA,"EV",4300,"N16911","EWR","RIC",NA,277,17,22,2013-01-17 17:00:00
"191",2013,1,17,NA,1633,NA,NA,1836,NA,"EV",4411,"N16919","EWR","MEM",NA,946,16,33,2013-01-17 16:00:00
"192",2013,1,17,NA,1025,NA,NA,1231,NA,"EV",5026,"N720EV","EWR","DTW",NA,488,10,25,2013-01-17 10:00:00
"193",2013,1,17,NA,1505,NA,NA,1637,NA,"9E",3393,NA,"JFK","DCA",NA,213,15,5,2013-01-17 15:00:00
"194",2013,1,17,NA,1930,NA,NA,2151,NA,"9E",3798,NA,"JFK","CLT",NA,541,19,30,2013-01-17 19:00:00
"195",2013,1,17,NA,1815,NA,NA,1958,NA,"9E",4019,NA,"JFK","RIC",NA,288,18,15,2013-01-17 18:00:00
"196",2013,1,17,NA,645,NA,NA,952,NA,"UA",719,NA,"EWR","DFW",NA,1372,6,45,2013-01-17 06:00:00
"197",2013,1,18,1005,1000,5,1429,1321,NA,"UA",499,"N490UA","EWR","SEA",NA,2402,10,0,2013-01-18 10:00:00
